"Index","TRSGX.Open","TRSGX.High","TRSGX.Low","TRSGX.Close","TRSGX.Volume","TRSGX.Adjusted"
2010-07-19,19.700001,19.700001,19.700001,19.700001,0,15.072014
2010-07-20,19.889999,19.889999,19.889999,19.889999,0,15.217377
2010-07-21,19.68,19.68,19.68,19.68,0,15.056712
2010-07-22,20.1,20.1,20.1,20.1,0,15.378044
2010-07-23,20.280001,20.280001,20.280001,20.280001,0,15.515758
2010-07-26,20.48,20.48,20.48,20.48,0,15.668773
2010-07-27,20.440001,20.440001,20.440001,20.440001,0,15.638171
2010-07-28,20.32,20.32,20.32,20.32,0,15.546361
2010-07-29,20.32,20.32,20.32,20.32,0,15.546361
2010-07-30,20.34,20.34,20.34,20.34,0,15.561663
2010-08-02,20.74,20.74,20.74,20.74,0,15.867693
2010-08-03,20.66,20.66,20.66,20.66,0,15.806487
2010-08-04,20.780001,20.780001,20.780001,20.780001,0,15.898297
2010-08-05,20.75,20.75,20.75,20.75,0,15.875344
2010-08-06,20.709999,20.709999,20.709999,20.709999,0,15.84474
2010-08-09,20.82,20.82,20.82,20.82,0,15.928899
2010-08-10,20.68,20.68,20.68,20.68,0,15.821789
2010-08-11,20.110001,20.110001,20.110001,20.110001,0,15.385695
2010-08-12,20.030001,20.030001,20.030001,20.030001,0,15.324489
2010-08-13,19.959999,19.959999,19.959999,19.959999,0,15.270933
2010-08-16,20,20,20,20,0,15.301536
2010-08-17,20.219999,20.219999,20.219999,20.219999,0,15.469853
2010-08-18,20.25,20.25,20.25,20.25,0,15.492806
2010-08-19,19.959999,19.959999,19.959999,19.959999,0,15.270933
2010-08-20,19.889999,19.889999,19.889999,19.889999,0,15.217377
2010-08-23,19.799999,19.799999,19.799999,19.799999,0,15.14852
2010-08-24,19.530001,19.530001,19.530001,19.530001,0,14.941951
2010-08-25,19.59,19.59,19.59,19.59,0,14.987855
2010-08-26,19.49,19.49,19.49,19.49,0,14.911347
2010-08-27,19.77,19.77,19.77,19.77,0,15.125569
2010-08-30,19.52,19.52,19.52,19.52,0,14.9343
2010-08-31,19.52,19.52,19.52,19.52,0,14.9343
2010-09-01,20.059999,20.059999,20.059999,20.059999,0,15.347441
2010-09-02,20.24,20.24,20.24,20.24,0,15.485155
2010-09-03,20.48,20.48,20.48,20.48,0,15.668773
2010-09-07,20.25,20.25,20.25,20.25,0,15.492806
2010-09-08,20.379999,20.379999,20.379999,20.379999,0,15.592265
2010-09-09,20.459999,20.459999,20.459999,20.459999,0,15.653471
2010-09-10,20.540001,20.540001,20.540001,20.540001,0,15.714679
2010-09-13,20.82,20.82,20.82,20.82,0,15.928899
2010-09-14,20.83,20.83,20.83,20.83,0,15.93655
2010-09-15,20.860001,20.860001,20.860001,20.860001,0,15.959503
2010-09-16,20.83,20.83,20.83,20.83,0,15.93655
2010-09-17,20.85,20.85,20.85,20.85,0,15.951852
2010-09-20,21.15,21.15,21.15,21.15,0,16.181374
2010-09-21,21.129999,21.129999,21.129999,21.129999,0,16.166072
2010-09-22,21.030001,21.030001,21.030001,21.030001,0,16.089566
2010-09-23,20.879999,20.879999,20.879999,20.879999,0,15.974803
2010-09-24,21.309999,21.309999,21.309999,21.309999,0,16.303787
2010-09-27,21.26,21.26,21.26,21.26,0,16.265533
2010-09-28,21.360001,21.360001,21.360001,21.360001,0,16.342041
2010-09-29,21.34,21.34,21.34,21.34,0,16.326739
2010-09-30,21.290001,21.290001,21.290001,21.290001,0,16.288486
2010-10-01,21.379999,21.379999,21.379999,21.379999,0,16.357342
2010-10-04,21.209999,21.209999,21.209999,21.209999,0,16.227279
2010-10-05,21.629999,21.629999,21.629999,21.629999,0,16.548611
2010-10-06,21.629999,21.629999,21.629999,21.629999,0,16.548611
2010-10-07,21.6,21.6,21.6,21.6,0,16.52566
2010-10-08,21.74,21.74,21.74,21.74,0,16.63277
2010-10-11,21.73,21.73,21.73,21.73,0,16.625119
2010-10-12,21.780001,21.780001,21.780001,21.780001,0,16.663374
2010-10-13,21.950001,21.950001,21.950001,21.950001,0,16.793437
2010-10-14,21.889999,21.889999,21.889999,21.889999,0,16.747531
2010-10-15,21.93,21.93,21.93,21.93,0,16.778135
2010-10-18,22.040001,22.040001,22.040001,22.040001,0,16.862294
2010-10-19,21.700001,21.700001,21.700001,21.700001,0,16.602167
2010-10-20,21.91,21.91,21.91,21.91,0,16.762833
2010-10-21,21.940001,21.940001,21.940001,21.940001,0,16.785786
2010-10-22,22.02,22.02,22.02,22.02,0,16.846992
2010-10-25,22.1,22.1,22.1,22.1,0,16.908198
2010-10-26,22.07,22.07,22.07,22.07,0,16.885245
2010-10-27,22.02,22.02,22.02,22.02,0,16.846992
2010-10-28,22.059999,22.059999,22.059999,22.059999,0,16.877594
2010-10-29,22.08,22.08,22.08,22.08,0,16.892896
2010-11-01,22.09,22.09,22.09,22.09,0,16.900547
2010-11-02,22.27,22.27,22.27,22.27,0,17.038261
2010-11-03,22.34,22.34,22.34,22.34,0,17.091816
2010-11-04,22.75,22.75,22.75,22.75,0,17.405498
2010-11-05,22.82,22.82,22.82,22.82,0,17.459053
2010-11-08,22.77,22.77,22.77,22.77,0,17.420799
2010-11-09,22.59,22.59,22.59,22.59,0,17.283085
2010-11-10,22.690001,22.690001,22.690001,22.690001,0,17.359593
2010-11-11,22.610001,22.610001,22.610001,22.610001,0,17.298387
2010-11-12,22.35,22.35,22.35,22.35,0,17.099467
2010-11-15,22.299999,22.299999,22.299999,22.299999,0,17.061212
2010-11-16,21.950001,21.950001,21.950001,21.950001,0,16.793437
2010-11-17,21.99,21.99,21.99,21.99,0,16.824039
2010-11-18,22.33,22.33,22.33,22.33,0,17.084165
2010-11-19,22.4,22.4,22.4,22.4,0,17.13772
2010-11-22,22.389999,22.389999,22.389999,22.389999,0,17.130069
2010-11-23,22.049999,22.049999,22.049999,22.049999,0,16.869943
2010-11-24,22.360001,22.360001,22.360001,22.360001,0,17.107118
2010-11-26,22.200001,22.200001,22.200001,22.200001,0,16.984706
2010-11-29,22.16,22.16,22.16,22.16,0,16.954102
2010-11-30,22.01,22.01,22.01,22.01,0,16.839341
2010-12-01,22.42,22.42,22.42,22.42,0,17.153022
2010-12-02,22.709999,22.709999,22.709999,22.709999,0,17.374894
2010-12-03,22.82,22.82,22.82,22.82,0,17.459053
