"Index","VGSTX.Open","VGSTX.High","VGSTX.Low","VGSTX.Close","VGSTX.Volume","VGSTX.Adjusted"
2012-05-03,20.25,20.25,20.25,20.25,0,16.719072
2012-05-04,20.049999,20.049999,20.049999,20.049999,0,16.553944
2012-05-07,20.059999,20.059999,20.059999,20.059999,0,16.562201
2012-05-08,19.969999,19.969999,19.969999,19.969999,0,16.487894
2012-05-09,19.870001,19.870001,19.870001,19.870001,0,16.405332
2012-05-10,19.879999,19.879999,19.879999,19.879999,0,16.413587
2012-05-11,19.85,19.85,19.85,19.85,0,16.388819
2012-05-14,19.709999,19.709999,19.709999,19.709999,0,16.273229
2012-05-15,19.620001,19.620001,19.620001,19.620001,0,16.198923
2012-05-16,19.540001,19.540001,19.540001,19.540001,0,16.132873
2012-05-17,19.35,19.35,19.35,19.35,0,15.976002
2012-05-18,19.23,19.23,19.23,19.23,0,15.876925
2012-05-21,19.450001,19.450001,19.450001,19.450001,0,16.058566
2012-05-22,19.42,19.42,19.42,19.42,0,16.033796
2012-05-23,19.41,19.41,19.41,19.41,0,16.02554
2012-05-24,19.389999,19.389999,19.389999,19.389999,0,16.009027
2012-05-25,19.379999,19.379999,19.379999,19.379999,0,16.00077
2012-05-29,19.540001,19.540001,19.540001,19.540001,0,16.132873
2012-05-30,19.360001,19.360001,19.360001,19.360001,0,15.984259
2012-05-31,19.360001,19.360001,19.360001,19.360001,0,15.984259
2012-06-01,19.08,19.08,19.08,19.08,0,15.753081
2012-06-04,19.059999,19.059999,19.059999,19.059999,0,15.736568
2012-06-05,19.120001,19.120001,19.120001,19.120001,0,15.786107
2012-06-06,19.379999,19.379999,19.379999,19.379999,0,16.00077
2012-06-07,19.41,19.41,19.41,19.41,0,16.02554
2012-06-08,19.450001,19.450001,19.450001,19.450001,0,16.058566
2012-06-11,19.309999,19.309999,19.309999,19.309999,0,15.942976
2012-06-12,19.459999,19.459999,19.459999,19.459999,0,16.066821
2012-06-13,19.389999,19.389999,19.389999,19.389999,0,16.009027
2012-06-14,19.469999,19.469999,19.469999,19.469999,0,16.075077
2012-06-15,19.629999,19.629999,19.629999,19.629999,0,16.207178
2012-06-18,19.67,19.67,19.67,19.67,0,16.240204
2012-06-19,19.82,19.82,19.82,19.82,0,16.364049
2012-06-20,19.83,19.83,19.83,19.83,0,16.372306
2012-06-21,19.540001,19.540001,19.540001,19.540001,0,16.132873
2012-06-22,19.6,19.6,19.6,19.6,0,16.18241
2012-06-25,19.41,19.41,19.41,19.41,0,16.02554
2012-06-26,19.459999,19.459999,19.459999,19.459999,0,16.066821
2012-06-27,19.57,19.57,19.57,19.57,0,16.157641
2012-06-28,19.370001,19.370001,19.370001,19.370001,0,16.130992
2012-06-29,19.709999,19.709999,19.709999,19.709999,0,16.414137
2012-07-02,19.790001,19.790001,19.790001,19.790001,0,16.480761
2012-07-03,19.889999,19.889999,19.889999,19.889999,0,16.564038
2012-07-05,19.82,19.82,19.82,19.82,0,16.505743
2012-07-06,19.690001,19.690001,19.690001,19.690001,0,16.397482
2012-07-09,19.67,19.67,19.67,19.67,0,16.380826
2012-07-10,19.58,19.58,19.58,19.58,0,16.305876
2012-07-11,19.59,19.59,19.59,19.59,0,16.314204
2012-07-12,19.51,19.51,19.51,19.51,0,16.247581
2012-07-13,19.700001,19.700001,19.700001,19.700001,0,16.40581
2012-07-16,19.700001,19.700001,19.700001,19.700001,0,16.40581
2012-07-17,19.76,19.76,19.76,19.76,0,16.455777
2012-07-18,19.870001,19.870001,19.870001,19.870001,0,16.547383
2012-07-19,19.940001,19.940001,19.940001,19.940001,0,16.605678
2012-07-20,19.809999,19.809999,19.809999,19.809999,0,16.497415
2012-07-23,19.65,19.65,19.65,19.65,0,16.36417
2012-07-24,19.549999,19.549999,19.549999,19.549999,0,16.280892
2012-07-25,19.58,19.58,19.58,19.58,0,16.305876
2012-07-26,19.809999,19.809999,19.809999,19.809999,0,16.497415
2012-07-27,20.030001,20.030001,20.030001,20.030001,0,16.680628
2012-07-30,20.049999,20.049999,20.049999,20.049999,0,16.697283
2012-07-31,19.98,19.98,19.98,19.98,0,16.638988
2012-08-01,19.93,19.93,19.93,19.93,0,16.59735
2012-08-02,19.84,19.84,19.84,19.84,0,16.522399
2012-08-03,20.09,20.09,20.09,20.09,0,16.730595
2012-08-06,20.16,20.16,20.16,20.16,0,16.788889
2012-08-07,20.219999,20.219999,20.219999,20.219999,0,16.838856
2012-08-08,20.219999,20.219999,20.219999,20.219999,0,16.838856
2012-08-09,20.24,20.24,20.24,20.24,0,16.855512
2012-08-10,20.27,20.27,20.27,20.27,0,16.880496
2012-08-13,20.24,20.24,20.24,20.24,0,16.855512
2012-08-14,20.209999,20.209999,20.209999,20.209999,0,16.830528
2012-08-15,20.190001,20.190001,20.190001,20.190001,0,16.813873
2012-08-16,20.290001,20.290001,20.290001,20.290001,0,16.897152
2012-08-17,20.32,20.32,20.32,20.32,0,16.922134
2012-08-20,20.309999,20.309999,20.309999,20.309999,0,16.913806
2012-08-21,20.32,20.32,20.32,20.32,0,16.922134
2012-08-22,20.35,20.35,20.35,20.35,0,16.947118
2012-08-23,20.26,20.26,20.26,20.26,0,16.872168
2012-08-24,20.309999,20.309999,20.309999,20.309999,0,16.913806
2012-08-27,20.299999,20.299999,20.299999,20.299999,0,16.905478
2012-08-28,20.299999,20.299999,20.299999,20.299999,0,16.905478
2012-08-29,20.299999,20.299999,20.299999,20.299999,0,16.905478
2012-08-30,20.190001,20.190001,20.190001,20.190001,0,16.813873
2012-08-31,20.309999,20.309999,20.309999,20.309999,0,16.913806
2012-09-04,20.280001,20.280001,20.280001,20.280001,0,16.888824
2012-09-05,20.26,20.26,20.26,20.26,0,16.872168
2012-09-06,20.51,20.51,20.51,20.51,0,17.080363
2012-09-07,20.6,20.6,20.6,20.6,0,17.155314
2012-09-10,20.52,20.52,20.52,20.52,0,17.088691
2012-09-11,20.58,20.58,20.58,20.58,0,17.138658
2012-09-12,20.610001,20.610001,20.610001,20.610001,0,17.163642
2012-09-13,20.809999,20.809999,20.809999,20.809999,0,17.330197
2012-09-14,20.889999,20.889999,20.889999,20.889999,0,17.39682
2012-09-17,20.85,20.85,20.85,20.85,0,17.363509
2012-09-18,20.83,20.83,20.83,20.83,0,17.346853
2012-09-19,20.860001,20.860001,20.860001,20.860001,0,17.371837
2012-09-20,20.83,20.83,20.83,20.83,0,17.346853
2012-09-21,20.85,20.85,20.85,20.85,0,17.363509
2012-09-24,20.82,20.82,20.82,20.82,0,17.338525
2012-09-25,20.709999,20.709999,20.709999,20.709999,0,17.246919
2012-09-26,20.629999,20.629999,20.629999,20.629999,0,17.180296
2012-09-27,20.75,20.75,20.75,20.75,0,17.280231
2012-09-28,20.66,20.66,20.66,20.66,0,17.20528
2012-10-01,20.73,20.73,20.73,20.73,0,17.263575
2012-10-02,20.76,20.76,20.76,20.76,0,17.288559
2012-10-03,20.77,20.77,20.77,20.77,0,17.296887
2012-10-04,20.860001,20.860001,20.860001,20.860001,0,17.371837
2012-10-05,20.85,20.85,20.85,20.85,0,17.363509
2012-10-08,20.799999,20.799999,20.799999,20.799999,0,17.321869
2012-10-09,20.65,20.65,20.65,20.65,0,17.196952
2012-10-10,20.6,20.6,20.6,20.6,0,17.155314
2012-10-11,20.67,20.67,20.67,20.67,0,17.213608
2012-10-12,20.639999,20.639999,20.639999,20.639999,0,17.188624
2012-10-15,20.75,20.75,20.75,20.75,0,17.280231
2012-10-16,20.879999,20.879999,20.879999,20.879999,0,17.388492
2012-10-17,20.93,20.93,20.93,20.93,0,17.430132
2012-10-18,20.889999,20.889999,20.889999,20.889999,0,17.39682
2012-10-19,20.73,20.73,20.73,20.73,0,17.263575
2012-10-22,20.74,20.74,20.74,20.74,0,17.271903
2012-10-23,20.58,20.58,20.58,20.58,0,17.138658
2012-10-24,20.540001,20.540001,20.540001,20.540001,0,17.105347
2012-10-25,20.58,20.58,20.58,20.58,0,17.138658
2012-10-26,20.59,20.59,20.59,20.59,0,17.146986
2012-10-31,20.620001,20.620001,20.620001,20.620001,0,17.17197
2012-11-01,20.780001,20.780001,20.780001,20.780001,0,17.305215
2012-11-02,20.66,20.66,20.66,20.66,0,17.20528
2012-11-05,20.700001,20.700001,20.700001,20.700001,0,17.238592
2012-11-06,20.780001,20.780001,20.780001,20.780001,0,17.305215
2012-11-07,20.540001,20.540001,20.540001,20.540001,0,17.105347
2012-11-08,20.42,20.42,20.42,20.42,0,17.005413
2012-11-09,20.43,20.43,20.43,20.43,0,17.013741
2012-11-12,20.440001,20.440001,20.440001,20.440001,0,17.022069
2012-11-13,20.389999,20.389999,20.389999,20.389999,0,16.980429
2012-11-14,20.219999,20.219999,20.219999,20.219999,0,16.838856
2012-11-15,20.200001,20.200001,20.200001,20.200001,0,16.822201
2012-11-16,20.25,20.25,20.25,20.25,0,16.86384
2012-11-19,20.49,20.49,20.49,20.49,0,17.063707
2012-11-20,20.49,20.49,20.49,20.49,0,17.063707
2012-11-21,20.52,20.52,20.52,20.52,0,17.088691
2012-11-23,20.719999,20.719999,20.719999,20.719999,0,17.255247
2012-11-26,20.690001,20.690001,20.690001,20.690001,0,17.230264
2012-11-27,20.639999,20.639999,20.639999,20.639999,0,17.188624
2012-11-28,20.74,20.74,20.74,20.74,0,17.271903
2012-11-29,20.83,20.83,20.83,20.83,0,17.346853
2012-11-30,20.83,20.83,20.83,20.83,0,17.346853
2012-12-03,20.790001,20.790001,20.790001,20.790001,0,17.313543
2012-12-04,20.82,20.82,20.82,20.82,0,17.338525
2012-12-05,20.860001,20.860001,20.860001,20.860001,0,17.371837
2012-12-06,20.9,20.9,20.9,20.9,0,17.405148
2012-12-07,20.92,20.92,20.92,20.92,0,17.421804
2012-12-10,20.950001,20.950001,20.950001,20.950001,0,17.446788
2012-12-11,21.02,21.02,21.02,21.02,0,17.505082
2012-12-12,21.01,21.01,21.01,21.01,0,17.496754
2012-12-13,20.940001,20.940001,20.940001,20.940001,0,17.43846
2012-12-14,20.950001,20.950001,20.950001,20.950001,0,17.446788
2012-12-17,21.049999,21.049999,21.049999,21.049999,0,17.530065
2012-12-18,21.18,21.18,21.18,21.18,0,17.638327
2012-12-19,21.15,21.15,21.15,21.15,0,17.613343
2012-12-20,21.23,21.23,21.23,21.23,0,17.679966
2012-12-21,21.129999,21.129999,21.129999,21.129999,0,17.596687
2012-12-24,21.09,21.09,21.09,21.09,0,17.563377
2012-12-26,21.059999,21.059999,21.059999,21.059999,0,17.538393
2012-12-27,21.08,21.08,21.08,21.08,0,17.555049
2012-12-28,20.639999,20.639999,20.639999,20.639999,0,17.459462
2012-12-31,20.799999,20.799999,20.799999,20.799999,0,17.594806
2013-01-02,21.1,21.1,21.1,21.1,0,17.848578
2013-01-03,21.02,21.02,21.02,21.02,0,17.780906
2013-01-04,21.110001,21.110001,21.110001,21.110001,0,17.857038
2013-01-07,21.08,21.08,21.08,21.08,0,17.83166
2013-01-08,21.049999,21.049999,21.049999,21.049999,0,17.806282
2013-01-09,21.110001,21.110001,21.110001,21.110001,0,17.857038
2013-01-10,21.209999,21.209999,21.209999,21.209999,0,17.941627
2013-01-11,21.23,21.23,21.23,21.23,0,17.958545
2013-01-14,21.23,21.23,21.23,21.23,0,17.958545
2013-01-15,21.24,21.24,21.24,21.24,0,17.967004
2013-01-16,21.23,21.23,21.23,21.23,0,17.958545
2013-01-17,21.299999,21.299999,21.299999,21.299999,0,18.017758
2013-01-18,21.33,21.33,21.33,21.33,0,18.043136
2013-01-22,21.379999,21.379999,21.379999,21.379999,0,18.08543
2013-01-23,21.389999,21.389999,21.389999,21.389999,0,18.09389
2013-01-24,21.42,21.42,21.42,21.42,0,18.119267
2013-01-25,21.49,21.49,21.49,21.49,0,18.17848
2013-01-28,21.440001,21.440001,21.440001,21.440001,0,18.136186
2013-01-29,21.48,21.48,21.48,21.48,0,18.170021
2013-01-30,21.43,21.43,21.43,21.43,0,18.127727
2013-01-31,21.43,21.43,21.43,21.43,0,18.127727
2013-02-01,21.540001,21.540001,21.540001,21.540001,0,18.220777
2013-02-04,21.389999,21.389999,21.389999,21.389999,0,18.09389
2013-02-05,21.49,21.49,21.49,21.49,0,18.17848
2013-02-06,21.51,21.51,21.51,21.51,0,18.195399
2013-02-07,21.450001,21.450001,21.450001,21.450001,0,18.144645
2013-02-08,21.540001,21.540001,21.540001,21.540001,0,18.220777
2013-02-11,21.51,21.51,21.51,21.51,0,18.195399
2013-02-12,21.549999,21.549999,21.549999,21.549999,0,18.229234
2013-02-13,21.57,21.57,21.57,21.57,0,18.246153
2013-02-14,21.58,21.58,21.58,21.58,0,18.254612
2013-02-15,21.559999,21.559999,21.559999,21.559999,0,18.237693
2013-02-19,21.65,21.65,21.65,21.65,0,18.313825
2013-02-20,21.459999,21.459999,21.459999,21.459999,0,18.153103
2013-02-21,21.35,21.35,21.35,21.35,0,18.060054
2013-02-22,21.49,21.49,21.49,21.49,0,18.17848
2013-02-25,21.290001,21.290001,21.290001,21.290001,0,18.009301
2013-02-26,21.34,21.34,21.34,21.34,0,18.051595
2013-02-27,21.51,21.51,21.51,21.51,0,18.195399
2013-02-28,21.5,21.5,21.5,21.5,0,18.18694
2013-03-01,21.540001,21.540001,21.540001,21.540001,0,18.220777
2013-03-04,21.58,21.58,21.58,21.58,0,18.254612
2013-03-05,21.719999,21.719999,21.719999,21.719999,0,18.373038
2013-03-06,21.719999,21.719999,21.719999,21.719999,0,18.373038
2013-03-07,21.74,21.74,21.74,21.74,0,18.389956
2013-03-08,21.77,21.77,21.77,21.77,0,18.415334
2013-03-11,21.82,21.82,21.82,21.82,0,18.457629
2013-03-12,21.799999,21.799999,21.799999,21.799999,0,18.44071
2013-03-13,21.809999,21.809999,21.809999,21.809999,0,18.44917
2013-03-14,21.889999,21.889999,21.889999,21.889999,0,18.516842
2013-03-15,21.889999,21.889999,21.889999,21.889999,0,18.516842
2013-03-18,21.799999,21.799999,21.799999,21.799999,0,18.44071
2013-03-19,21.76,21.76,21.76,21.76,0,18.406875
2013-03-20,21.84,21.84,21.84,21.84,0,18.474547
2013-03-21,21.719999,21.719999,21.719999,21.719999,0,18.373038
2013-03-22,21.790001,21.790001,21.790001,21.790001,0,18.432253
2013-03-25,21.719999,21.719999,21.719999,21.719999,0,18.373038
2013-03-26,21.82,21.82,21.82,21.82,0,18.457629
2013-03-27,21.82,21.82,21.82,21.82,0,18.457629
2013-03-28,21.9,21.9,21.9,21.9,0,18.525301
2013-04-01,21.82,21.82,21.82,21.82,0,18.457629
2013-04-02,21.870001,21.870001,21.870001,21.870001,0,18.499925
2013-04-03,21.75,21.75,21.75,21.75,0,18.398416
2013-04-04,21.82,21.82,21.82,21.82,0,18.457629
2013-04-05,21.790001,21.790001,21.790001,21.790001,0,18.432253
2013-04-08,21.860001,21.860001,21.860001,21.860001,0,18.491466
2013-04-09,21.91,21.91,21.91,21.91,0,18.53376
2013-04-10,22.07,22.07,22.07,22.07,0,18.669105
2013-04-11,22.129999,22.129999,22.129999,22.129999,0,18.719859
2013-04-12,22.120001,22.120001,22.120001,22.120001,0,18.711401
2013-04-15,21.809999,21.809999,21.809999,21.809999,0,18.44917
2013-04-16,21.99,21.99,21.99,21.99,0,18.601433
2013-04-17,21.76,21.76,21.76,21.76,0,18.406875
2013-04-18,21.67,21.67,21.67,21.67,0,18.330743
2013-04-19,21.809999,21.809999,21.809999,21.809999,0,18.44917
2013-04-22,21.870001,21.870001,21.870001,21.870001,0,18.499925
2013-04-23,22.030001,22.030001,22.030001,22.030001,0,18.635269
2013-04-24,22.09,22.09,22.09,22.09,0,18.686023
2013-04-25,22.17,22.17,22.17,22.17,0,18.753696
2013-04-26,22.16,22.16,22.16,22.16,0,18.745236
2013-04-29,22.27,22.27,22.27,22.27,0,18.838286
2013-04-30,22.32,22.32,22.32,22.32,0,18.880581
2013-05-01,22.219999,22.219999,22.219999,22.219999,0,18.79599
2013-05-02,22.33,22.33,22.33,22.33,0,18.88904
2013-05-03,22.43,22.43,22.43,22.43,0,18.973631
2013-05-06,22.440001,22.440001,22.440001,22.440001,0,18.98209
2013-05-07,22.51,22.51,22.51,22.51,0,19.041303
2013-05-08,22.620001,22.620001,22.620001,22.620001,0,19.134353
2013-05-09,22.540001,22.540001,22.540001,22.540001,0,19.066681
2013-05-10,22.58,22.58,22.58,22.58,0,19.100516
2013-05-13,22.559999,22.559999,22.559999,22.559999,0,19.083598
2013-05-14,22.67,22.67,22.67,22.67,0,19.176648
2013-05-15,22.75,22.75,22.75,22.75,0,19.24432
2013-05-16,22.709999,22.709999,22.709999,22.709999,0,19.210483
2013-05-17,22.799999,22.799999,22.799999,22.799999,0,19.286614
2013-05-20,22.82,22.82,22.82,22.82,0,19.303533
2013-05-21,22.870001,22.870001,22.870001,22.870001,0,19.345829
2013-05-22,22.700001,22.700001,22.700001,22.700001,0,19.202025
2013-05-23,22.639999,22.639999,22.639999,22.639999,0,19.15127
2013-05-24,22.610001,22.610001,22.610001,22.610001,0,19.125894
2013-05-28,22.620001,22.620001,22.620001,22.620001,0,19.134353
2013-05-29,22.559999,22.559999,22.559999,22.559999,0,19.083598
2013-05-30,22.639999,22.639999,22.639999,22.639999,0,19.15127
2013-05-31,22.4,22.4,22.4,22.4,0,18.948253
2013-06-03,22.459999,22.459999,22.459999,22.459999,0,18.999007
2013-06-04,22.379999,22.379999,22.379999,22.379999,0,18.931335
2013-06-05,22.200001,22.200001,22.200001,22.200001,0,18.779073
2013-06-06,22.309999,22.309999,22.309999,22.309999,0,18.872122
2013-06-07,22.42,22.42,22.42,22.42,0,18.965172
2013-06-10,22.42,22.42,22.42,22.42,0,18.965172
2013-06-11,22.26,22.26,22.26,22.26,0,18.829827
2013-06-12,22.139999,22.139999,22.139999,22.139999,0,18.728318
2013-06-13,22.360001,22.360001,22.360001,22.360001,0,18.914418
2013-06-14,22.27,22.27,22.27,22.27,0,18.838286
2013-06-17,22.379999,22.379999,22.379999,22.379999,0,18.931335
2013-06-18,22.48,22.48,22.48,22.48,0,19.015925
2013-06-19,22.23,22.23,22.23,22.23,0,18.804449
2013-06-20,21.780001,21.780001,21.780001,21.780001,0,18.423793
2013-06-21,21.700001,21.700001,21.700001,21.700001,0,18.356121
2013-06-24,21.49,21.49,21.49,21.49,0,18.17848
2013-06-25,21.6,21.6,21.6,21.6,0,18.27153
2013-06-26,21.77,21.77,21.77,21.77,0,18.415334
2013-06-27,21.790001,21.790001,21.790001,21.790001,0,18.560136
2013-06-28,21.77,21.77,21.77,21.77,0,18.5431
2013-07-01,21.9,21.9,21.9,21.9,0,18.65383
2013-07-02,21.85,21.85,21.85,21.85,0,18.611242
2013-07-03,21.83,21.83,21.83,21.83,0,18.594206
2013-07-05,21.84,21.84,21.84,21.84,0,18.602724
2013-07-08,21.950001,21.950001,21.950001,21.950001,0,18.69642
2013-07-09,22.059999,22.059999,22.059999,22.059999,0,18.790114
2013-07-10,22.07,22.07,22.07,22.07,0,18.798632
